AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,27250034.0,TORDÓ,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27050.0,ATRATO,N,27050006.0,SAN JOSÉ DE PURRÉ,N,N,N,N,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27150.0,CARMEN DEL DARIÉN,S,27150000.0,CURBARADÓ,N,S,N,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,27250021.0,BURUJÓN,N,N,N,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27025.0,ALTO BAUDÓ,S,27025000.0,PIE DE PATO,S,S,S,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27600.0,RÍO QUITO,N,27600006.0,CHIGUARANDÓ ALTO,N,N,N,S,N,N
2022,3,AVANTEL S.A.S,27,CHOCÓ,27495.0,NUQUÍ,S,27495000.0,NUQUÍ,S,S,S,N,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27150.0,CARMEN DEL DARIÉN,S,27150000.0,CURBARADÓ,N,S,S,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27660.0,SAN JOSÉ DEL PALMAR,S,27660000.0,SAN JOSÉ DEL PALMAR,S,S,S,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27495.0,NUQUÍ,S,27495000.0,NUQUÍ,N,S,S,N,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27025.0,ALTO BAUDÓ,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27075.0,BAHÍA SOLANO,N,27075004.0,HUINA,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27600.0,RÍO QUITO,N,27600011.0,LOMA DE LOS GAMBOA,N,N,N,N,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27580.0,RÍO IRÓ,S,27580000.0,SANTA RITA,S,S,S,S,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27430.0,MEDIO BAUDÓ,S,27430000.0,PUERTO MELUK,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27001.0,QUIBDÓ,N,27001020.0,SAN RAFAEL DE NEGUA,N,N,N,N,N,N
2023,2,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27450.0,MEDIO SAN JUAN,S,27450000.0,ANDAGOYA,N,S,S,N,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27050.0,ATRATO,S,27050000.0,YUTO,S,S,S,S,N,N
2022,3,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27745.0,SIPÍ,S,27745000.0,SIPÍ,N,S,S,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27745.0,SIPÍ,S,27745000.0,SIPÍ,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27425.0,MEDIO ATRATO,S,27425000.0,BETÉ,S,S,S,S,N,N
2023,1,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27810.0,UNIÓN PANAMERICANA,S,27810000.0,ÁNIMAS,N,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27001.0,QUIBDÓ,N,27001017.0,LA TROJE,N,N,N,N,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,27,CHOCÓ,27361.0,ISTMINA,S,27361000.0,ISTMINA,S,S,N,S,N,N
2021,2,AVANTEL S.A.S,27,CHOCÓ,27025.0,ALTO BAUDÓ,S,27025000.0,PIE DE PATO,S,S,S,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27135.0,EL CANTÓN DEL SAN PABLO,N,27135005.0,GUAPANDÓ,N,N,N,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27001.0,QUIBDÓ,N,27001047.0,EL FUERTE,N,N,N,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27430.0,MEDIO BAUDÓ,N,27430003.0,BOCA DE BAUDOCITO,S,N,N,N,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27430.0,MEDIO BAUDÓ,N,27430009.0,PIE DE PEPE,N,N,N,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27150.0,CARMEN DEL DARIÉN,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2021,4,AVANTEL S.A.S,27,CHOCÓ,27745.0,SIPÍ,S,27745000.0,SIPÍ,S,S,S,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27160.0,CÉRTEGUI,S,27160000.0,CÉRTEGUI,S,S,S,S,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27810.0,UNIÓN PANAMERICANA,S,27810000.0,ÁNIMAS,S,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27745.0,SIPÍ,N,27745011.0,CHAMBACÚ,N,N,N,N,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27160.0,CÉRTEGUI,S,27160000.0,CÉRTEGUI,S,S,S,S,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27006.0,ACANDÍ,N,27006003.0,CAPURGANÁ,S,S,S,N,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27800.0,UNGUÍA,N,27800007.0,BETECITO,N,N,N,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27787.0,TADÓ,N,27787010.0,PLAYA DE ORO,S,N,N,N,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27615.0,RIOSUCIO,S,27615000.0,RIOSUCIO,S,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27025.0,ALTO BAUDÓ,N,27025031.0,BAGRERA(PUERTO MARTÍNEZ),N,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,27250018.0,LOS PEREA,N,N,N,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27600.0,RÍO QUITO,S,27600000.0,PAIMADÓ,S,S,S,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27810.0,UNIÓN PANAMERICANA,S,27810000.0,ÁNIMAS,S,S,S,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27800.0,UNGUÍA,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27450.0,MEDIO SAN JUAN,N,27450013.0,FUJIADÓ,N,N,N,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27413.0,LLORÓ,S,27413000.0,LLORÓ,S,S,S,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27075.0,BAHÍA SOLANO,N,27075002.0,EL VALLE,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27160.0,CÉRTEGUI,N,27160008.0,LA VUELTA,S,S,S,N,N,N
2022,1,AVANTEL S.A.S,27,CHOCÓ,27495.0,NUQUÍ,S,27495000.0,NUQUÍ,S,S,S,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27495.0,NUQUÍ,S,27495000.0,NUQUÍ,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27495.0,NUQUÍ,N,27495010.0,TERMALES,N,N,N,N,N,N
2021,4,AVANTEL S.A.S,27,CHOCÓ,27615.0,RIOSUCIO,S,27615000.0,RIOSUCIO,S,S,S,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27745.0,SIPÍ,N,27745011.0,CHAMBACÚ,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27361.0,ISTMINA,N,27361041.0,JUANA MARCELA,S,N,N,N,N,N
