AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,27250034.0,TORDÓ,N,N,N,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5495.0,NECHÍ,N,5495003.0,LA CONCHA,S,S,S,S,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70508.0,OVEJAS,N,70508006.0,DON GABRIEL,N,N,N,S,N,N
2021,4,AVANTEL S.A.S,73,TOLIMA,73043.0,ANZOÁTEGUI,S,73043000.0,ANZOÁTEGUI,S,S,S,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,50,META,50150.0,CASTILLA LA NUEVA,N,50150001.0,SAN LORENZO,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5264.0,ENTRERRIOS,S,5264000.0,ENTRERRÍOS,S,S,S,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,20,CESAR,20787.0,TAMALAMEQUE,N,20787015.0,EL DOCE,N,N,N,S,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,81,ARAUCA,81065.0,ARAUQUITA,N,81065007.0,REINERA (GAVIOTA),S,S,S,N,N,N
2021,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,44,LA GUAJIRA,44279.0,FONSECA,S,44279001.0,FONSECA,N,N,S,N,S,N
2023,3,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15172.0,CHINAVITA,S,15172000.0,CHINAVITA,N,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70001.0,SINCELEJO,N,70001020.0,POLICARPA,S,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001.0,VALLEDUPAR,N,0.0,VERACRUZ,N,N,N,N,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25873.0,VILLAPINZÓN,S,25873000.0,VILLAPINZÓN,S,S,S,S,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5086.0,BELMIRA,S,5086000.0,BELMIRA,N,N,N,S,N,N
2021,3,PARTNERS TELECOM COLOMBIA SAS,18,CAQUETA,18205.0,CURILLO,S,18205000.0,CURILLO,N,S,S,S,N,N
2021,4,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52490.0,OLAYA HERRERA,S,52490000.0,BOCAS DE SATINGA,S,S,S,S,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,66,RISARALDA,66001.0,PEREIRA,N,66001025.0,NUEVA SIRIA,S,N,N,N,N,N
2022,1,PARTNERS TELECOM COLOMBIA SAS,54,NORTE DE SANTANDER,54874.0,VILLA DEL ROSARIO,S,54874000.0,VILLA DEL ROSARIO,N,S,S,S,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,20,CESAR,20570.0,PUEBLO BELLO,N,20570002.0,LAS MINAS DE IRACAL,N,S,S,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13468.0,SANTA CRUZ DE MOMPOX,N,13468013.0,LA RINCONADA,S,S,S,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20787.0,TAMALAMEQUE,S,20787000.0,TAMALAMEQUE,S,S,S,S,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,19,CAUCA,19807.0,TIMBÍO,S,19807000.0,TIMBÍO,N,S,S,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,85,CASANARE,85410.0,TAURAMENA,N,85410005.0,PASO CUSIANA,S,S,S,S,N,N
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47053.0,ARACATACA,N,47053016.0,EL TIGRE,S,N,N,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5250.0,EL BAGRE,S,5250000.0,EL BAGRE,N,S,S,S,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66001.0,PEREIRA,N,66001036.0,PITAL DE COMBIA,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76036.0,ANDALUCÍA,S,76036000.0,ANDALUCÍA,S,S,S,S,N,N
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,41503.0,OPORAPA,S,41503001.0,OPORAPA,S,S,N,N,N,N
2021,3,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25524.0,PANDI,S,25524000.0,PANDI,N,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19785.0,SUCRE,N,19785008.0,LA CEJA,N,N,N,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23678.0,SAN CARLOS,N,23678008.0,CALLEMAR,S,S,S,N,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,13433.0,MAHATES,N,13433004.0,SAN BASILIO DE PALENQUE,N,S,S,S,N,N
2021,2,AVANTEL S.A.S,50,META,50370.0,URIBE,S,50370000.0,URIBE,S,S,S,N,N,N
